City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Bubaque,GW,79.11,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
152,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
154,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
158,Maragogi,BR,74.34,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
159,Eyl,SO,77.54,broken clouds,7.9803,49.8164,Amiin Hotel
164,Angoche,MZ,72.23,clear sky,-16.2325,39.9086,Guest House HESADA
171,Rumonge,BI,75.31,few clouds,-3.9736,29.4386,Kwetu Guest House
176,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
177,Inirida,CO,77.04,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
181,Salinopolis,BR,79.92,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
182,La Raya De Santa Maria,PA,77.22,overcast clouds,8.1667,-80.8167,Policía nacional La Raya Santa Maria
187,Sao Gabriel Da Cachoeira,BR,79.12,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
189,San Andres,CO,83.12,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
194,Omboue,GA,75.56,light rain,-1.5746,9.2618,Hotel Olako
199,Qalyub,EG,77.79,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
202,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
203,Puerto Carreno,CO,78.4,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
208,Belmonte,BR,73.17,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
209,Niquelandia,BR,70.84,overcast clouds,-14.4739,-48.4597,Hotel Suinã
211,Cockburn Town,TC,82.62,clear sky,21.4612,-71.1419,Osprey Beach Hotel
213,Annau,TM,71.01,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
216,Nizwa,OM,78.64,clear sky,22.9333,57.5333,Orient Apartments
220,Hillsborough,US,79.29,overcast clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
224,Port Blair,IN,81.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
226,Santarem,BR,80.17,clear sky,-2.4431,-54.7083,Hotel Imperador
234,Nunchia,CO,72.84,overcast clouds,5.6406,-72.1986,Hotel el Encanto del Llano
236,Kochinda,IN,76.21,overcast clouds,21.7333,84.35,OYO 88952 Hotel Royal Galaxy
237,Takoradi,GH,74.71,clear sky,4.8845,-1.7554,Raybow International Hotel
238,Alta Floresta,BR,71.73,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
241,Larreynaga,NI,75.2,overcast clouds,12.6769,-86.5719,Finca El Carrizal
243,Sur,OM,83.01,clear sky,22.5667,59.5289,Sur Plaza Hotel
245,Shakawe,BW,70.18,clear sky,-18.3667,21.85,Ditlhapi Guest House
249,Nador,MA,71.85,few clouds,35.174,-2.9287,Hôtel La Giralda
