City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
489,Skowhegan,US,44.7651,-69.7192,57.97,95,100,3.0,overcast clouds
490,Kapuskasing,CA,49.4169,-82.4331,50.4,88,100,3.4,overcast clouds
491,Elizabethtown,US,37.694,-85.8591,66.02,68,0,3.44,clear sky
492,Minab,IR,27.1467,57.0801,85.28,53,5,1.19,clear sky
493,Chardara,KZ,41.2547,67.9692,67.64,32,0,5.55,clear sky
494,Riyadh,SA,24.6877,46.7219,80.74,28,8,17.05,clear sky
495,Kara,TG,9.5511,1.1861,72.72,93,61,1.45,light rain
496,Aktash,RU,50.3,87.7333,40.82,52,100,4.05,overcast clouds
497,Jagdalpur,IN,19.0667,82.0333,71.02,93,95,1.12,overcast clouds
498,Prigorodka,RU,52.0447,39.7124,46.4,89,20,10.69,few clouds
499,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,79,89,11.99,light rain
500,Buritis,BR,-15.6178,-46.4233,75.78,65,100,3.53,overcast clouds
501,Kisiwani,TZ,-4.1333,37.95,68.36,83,96,2.06,overcast clouds
502,Manitouwadge,CA,49.1215,-85.8403,48.15,90,100,3.94,overcast clouds
503,Pedra Branca,BR,-5.4542,-39.7172,74.08,48,4,6.67,clear sky
504,Jilib,SO,0.4883,42.7854,73.36,94,10,4.94,clear sky
505,Bolingbrook,US,41.6986,-88.0684,63.68,74,0,8.05,clear sky
506,Aljezur,PT,37.3191,-8.8033,62.62,72,0,11.05,clear sky
507,Saldus,LV,56.6636,22.4881,42.78,93,64,5.21,broken clouds
508,Yazd,IR,31.8972,54.3675,75.87,15,0,5.41,clear sky
509,Aranos,NA,-24.1333,19.1167,67.17,21,74,9.64,broken clouds
510,Kalur Kot,PK,32.1564,71.2594,76.17,68,1,4.38,clear sky
511,Dzialdowo,PL,53.2396,20.17,48.11,69,60,1.9,broken clouds
512,Camacha,PT,33.0833,-16.3333,67.42,64,40,12.66,scattered clouds
513,Teguise,ES,29.0605,-13.564,66.42,88,100,6.91,overcast clouds
514,Awjilah,LY,29.1081,21.2869,74.44,58,0,8.28,clear sky
515,Erdemli,TR,36.605,34.3084,75.18,37,0,4.12,clear sky
516,Caravelas,BR,-17.7125,-39.2481,71.92,81,100,9.13,overcast clouds
517,Yokadouma,CM,3.5167,15.05,68.23,99,86,1.83,overcast clouds
518,Porto Nacional,BR,-10.7081,-48.4172,78.8,81,99,1.03,overcast clouds
519,Narragansett,US,41.4501,-71.4495,67.86,76,0,9.22,clear sky
520,Dunbar,US,38.3606,-81.7374,63.79,77,11,4.21,few clouds
521,Agfalva,HU,47.6899,16.5166,54.55,93,100,2.8,overcast clouds
522,Iquitos,PE,-3.7481,-73.2472,77.04,78,40,0.0,haze
523,Ortakoy,TR,38.7373,34.0387,43.05,27,0,1.72,clear sky
524,Parrita,CR,9.5201,-84.3225,78.42,86,100,3.62,overcast clouds
525,Voloshka,RU,61.3314,40.0858,43.77,98,100,6.15,overcast clouds
526,Orapa,BW,-21.2833,25.3667,70.27,31,0,9.51,clear sky
527,Ashtian,IR,34.5217,50.0019,60.1,44,0,10.92,clear sky
528,Mangai,CD,-4.05,19.5333,69.89,89,31,0.31,scattered clouds
529,Fonte Boa,BR,-2.4959,-66.2662,78.96,74,7,1.57,clear sky
530,Ormara,PK,25.2088,64.6357,80.8,73,98,5.23,overcast clouds
531,Lebowakgomo,ZA,-24.2,29.5,65.39,32,0,5.44,clear sky
532,Barranca,PE,-10.75,-77.7667,60.21,84,34,6.98,scattered clouds
533,Manturovo,RU,58.3353,44.7619,45.68,94,100,7.83,light rain
534,Zaysan,KZ,47.4667,84.8667,62.96,35,6,4.47,clear sky
535,Santa Rosa,PH,14.3122,121.1114,86.11,80,100,4.81,overcast clouds
536,Visby,SE,57.6409,18.296,50.22,93,40,5.75,scattered clouds
537,Horta,PT,38.5333,-28.6333,70.2,75,54,18.68,broken clouds
538,Fiche,ET,9.8,38.7333,45.59,85,0,3.29,clear sky
539,Tenenkou,ML,14.4572,-4.9169,83.68,57,9,6.91,clear sky
540,Cururupu,BR,-1.8283,-44.8683,74.97,88,15,3.89,few clouds
541,Neuquen,AR,-38.9516,-68.0591,49.89,57,4,0.0,clear sky
542,Niquero,CU,20.0431,-77.5828,81.63,79,100,14.92,overcast clouds
543,Bosaso,SO,11.2842,49.1816,87.51,51,15,5.93,few clouds
544,Razdolnaya,RU,45.3799,39.5557,49.78,82,56,6.13,broken clouds
545,Sokoto,NG,13.0609,5.239,82.38,60,26,6.31,scattered clouds
